temperature_celsius,temperature_fahrenheit,humidity,country,location_name,region,latitude,longitude,Alert
26.0,78.7,75,India,Porbandar,Gujarat,21.63,69.6,Moderate
23.9,75.0,81,India,Valsad,Gujarat,20.63,72.93,Moderate
26.0,78.8,74,India,Gandhinagar,Gujarat,23.22,72.68,Moderate
25.9,78.6,73,India,Morbi,Gujarat,22.82,70.83,Moderate
26.0,78.8,74,India,Kheda,Gujarat,22.75,72.68,Moderate
24.6,76.2,79,India,Dadra,Dadra and Nagar Haveli,20.32,72.97,Moderate
25.6,78.1,86,India,Krishna,Andhra Pradesh,16.17,81.13,Moderate
24.8,76.6,85,India,East Godavari,Andhra Pradesh,16.93,82.22,Moderate
27.1,80.8,80,India,Visakhapatnam,Andhra Pradesh,17.7,83.3,Moderate
26.8,80.3,73,India,Nellore,Andhra Pradesh,14.43,79.97,Moderate
22.4,72.4,92,India,Chittoor,Andhra Pradesh,13.2,79.12,Moderate
25.5,77.8,84,India,Srikakulam,Andhra Pradesh,18.3,83.9,Moderate
24.1,75.3,72,India,Kurnool,Andhra Pradesh,15.83,78.05,Moderate
23.8,74.9,87,India,Guntur,Andhra Pradesh,16.3,80.45,Moderate
25.2,77.4,84,India,Vizianagaram,Andhra Pradesh,18.12,83.42,Moderate
24.8,76.6,62,India,Anantapur,Andhra Pradesh,14.68,77.6,Moderate
24.1,75.3,82,India,West Godavari,Andhra Pradesh,16.7,81.1,Moderate
25.7,78.2,79,India,Kadapa,Andhra Pradesh,14.47,78.82,Moderate
24.0,75.1,70,India,Jamtara,Jharkhand,23.95,86.8,Moderate
23.4,74.1,77,India,Saraikela,Jharkhand,22.72,85.95,Moderate
22.3,72.1,82,India,Simdega,Jharkhand,22.62,84.52,Moderate
22.2,72.0,77,India,Latehar,Jharkhand,23.75,84.5,Moderate
21.7,71.0,79,India,Khunti,Jharkhand,23.08,85.28,Moderate
21.7,71.0,83,India,Hazaribagh,Jharkhand,23.98,85.35,Moderate
26.0,78.8,89,India,Chatra,Jharkhand,24.22,84.87,Moderate
22.7,72.9,80,India,Kodarma,Jharkhand,24.43,85.52,Moderate
23.8,74.8,73,India,Giridih,Jharkhand,24.18,86.3,Moderate
20.5,68.9,78,India,Lohardaga,Jharkhand,23.43,84.68,Moderate
24.6,76.2,81,India,Sahibganj,Jharkhand,25.25,87.65,Moderate
23.9,75.1,77,India,Godda,Jharkhand,24.83,87.22,Moderate
24.4,75.9,70,India,Dhanbad,Jharkhand,23.8,86.45,Moderate
23.7,74.6,73,India,Dumka,Jharkhand,24.27,87.25,Moderate
22.7,72.9,76,India,Bokaro,Jharkhand,23.78,85.97,Moderate
23.9,75.1,73,India,Deoghar,Jharkhand,24.48,86.7,Moderate
20.8,69.4,77,India,Gumla,Chhattisgarh,23.05,84.55,Moderate
21.7,71.0,79,India,Ramgarh,Jharkhand,23.63,85.52,Moderate
22.6,72.7,78,India,Garhwa,Uttar Pradesh,24.73,83.22,Moderate
21.7,71.1,79,India,Ranchi,Jharkhand,23.35,85.33,Moderate
29.0,84.2,94,India,Arwal,Bihar,25.25,84.68,Moderate
24.7,76.4,76,India,Bhagalpur,Bihar,25.25,87.0,Moderate
25.0,77.0,79,India,Purnia,Bihar,25.78,87.47,Moderate
25.3,77.5,84,India,Kishanganj,West Bengal,26.12,87.93,Moderate
26.0,78.8,89,India,Gaya,Bihar,24.78,85.0,Moderate
23.9,75.1,77,India,Banka,Bihar,24.88,86.92,Moderate
22.8,73.0,66,India,Aurangabad,Maharashtra,19.88,75.33,Moderate
24.7,76.5,73,India,Nawada,Bihar,24.88,85.53,Moderate
24.3,75.8,88,India,Araria,Bihar,26.15,87.52,Moderate
25.3,77.6,72,India,Muzaffarpur,Bihar,26.12,85.4,Moderate
23.8,74.8,73,India,Saran,Bihar,24.48,86.3,Moderate
7.3,45.2,69,India,Sheikhpura,Jammu and Kashmir,34.33,74.23,Low
25.2,77.3,75,India,Saharsa,Bihar,25.88,86.6,Moderate
25.0,77.0,74,India,Gopalganj,Bihar,26.47,84.43,Moderate
24.8,76.7,79,India,Siwan,Bihar,26.22,84.37,Moderate
24.8,76.6,73,India,Sheohar,Bihar,26.52,85.3,Moderate
24.4,75.9,78,India,Buxar,Bihar,25.58,83.98,Moderate
24.5,76.1,72,India,Madhubani,Bihar,26.37,86.08,Moderate
25.2,77.3,75,India,Supaul,Bihar,26.12,86.6,Moderate
29.0,84.2,94,India,Patna,Bihar,25.6,85.12,Moderate
21.3,70.3,79,India,Bhojpur,Orissa,21.65,84.4,Moderate
24.9,76.8,73,India,Darbhanga,Bihar,26.17,85.9,Moderate
25.6,78.1,71,India,Samastipur,Bihar,25.85,85.78,Moderate
24.2,75.5,71,India,Bhabua,Bihar,25.05,83.62,Moderate
24.6,76.3,73,India,Khagaria,Bihar,25.5,86.48,Moderate
24.9,76.8,73,India,Munger,Bihar,25.38,86.47,Moderate
24.8,76.6,73,India,Sitamarhi,Bihar,26.6,85.48,Moderate
24.9,76.8,72,India,Lakhisarai,Bihar,25.18,86.08,Moderate
23.7,74.7,72,India,Jamui,Bihar,24.92,86.22,Moderate
24.9,76.9,72,India,Begusarai,Bihar,25.42,86.13,Moderate
25.1,77.1,79,India,Katihar,Bihar,25.53,87.58,Moderate
28.0,82.4,79,India,Gurgaon,Haryana,28.47,77.03,Moderate
23.9,74.9,69,India,Yamunanagar,Haryana,30.1,77.28,Moderate
28.0,82.4,79,India,Palwal,Haryana,28.15,77.33,Moderate
28.0,82.4,79,India,Jhajjar,Haryana,28.62,76.65,Moderate
29.4,84.9,34,India,Bhiwani,Haryana,28.78,76.13,Moderate
26.8,80.3,51,India,Kaithal,Haryana,29.8,76.38,Moderate
